subject;title;author;date;excerpt;temporal;zone;agent;fase;state;func;local;form;view;role;lok;loe;num;suit;rev;citekey;svg;dxf;ifc
br-rn-acari-r_dr_jose_augusto_76;Fachada para sudeste;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_76;Corte longitudinal;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_matriz_44;Planta de situação;Eduarda Santana;2024-01-07;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_matriz_44;Planta baixa;Eduarda Santana;2024-01-07;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_matriz_44;Fachada para leste;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_matriz_44;Corte longitudinal;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_matriz_87;Planta de situação;Eduarda Santana;2024-01-07;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_matriz_87;Planta do pavimento térreo;Eduarda Santana;2024-01-07;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_matriz_87;Planta do sobrado;Eduarda Santana;2024-01-07;;;Storey;ARQTRAD;LV;O;;SOB;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_matriz_87;Fachada para oeste;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_matriz_87;Corte longitudinal;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_39;Planta de situação;Eduarda Santana;2023-12-30;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_tomaz_araujo_39;Planta do pavimento térreo;Eduarda Santana;2023-12-30;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_39;Planta do sobrado;Eduarda Santana;2023-12-30;;;Storey;ARQTRAD;LV;O;;SOB;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_39;Fachada para oeste;Eduarda Santana;2023-12-30;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_39;Corte longitudinal;Eduarda Santana;2023-12-30;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_47;Planta de situação;Eduarda Santana;2024-01-08;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_tomaz_araujo_47;Planta baixa;Eduarda Santana;2024-01-08;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_47;Fachada para sudeste;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_47;Corte longitudinal;Eduarda Santana;2024-01-08;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_169;Planta de situação;Eduarda Santana;2024-01-09;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_tomaz_araujo_169;Planta baixa;Eduarda Santana;2024-01-09;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_tomaz_araujo_169;Fachada para sudeste;Eduarda Santana;2024-01-09;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
